instance_name,num_nodes,solver_cost,optimal_cost,gap_percent,total_time,status
EUC_2D_49,100,-1.0,3.5015693319678936,,0.023036479949951172,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_50,100,-1.0,2.466178215976007,,0.02320265769958496,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_51,100,-1.0,3.0257593261160975,,0.0233914852142334,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_52,100,-1.0,2.9749625219755402,,0.022720813751220703,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_53,100,-1.0,2.712954911862109,,0.022520065307617188,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_54,100,-1.0,3.00207344151561,,0.023463726043701172,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_55,100,-1.0,2.826867661013215,,0.02809906005859375,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_56,100,-1.0,2.832808536657722,,0.02397322654724121,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_57,100,-1.0,3.372984428131043,,0.02294015884399414,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_58,100,-1.0,2.999832486653447,,0.024618864059448242,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_59,100,-1.0,3.0971929076292595,,0.0222928524017334,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_60,100,-1.0,2.334095617176507,,0.023923397064208984,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_61,100,-1.0,2.6804214586794317,,0.022094249725341797,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_62,100,-1.0,2.631695009268855,,0.02373671531677246,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_63,100,-1.0,3.0278676251761327,,0.022681474685668945,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_64,100,-1.0,3.272679514134076,,0.022378921508789062,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_65,100,-1.0,2.8171040994090015,,0.024299144744873047,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_66,100,-1.0,2.9651883450367706,,0.025280237197875977,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_67,100,-1.0,3.102901284439681,,0.025652170181274414,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_68,100,-1.0,2.9448313147801612,,0.02267003059387207,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_69,100,-1.0,2.8742037131459277,,0.02369856834411621,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_70,100,-1.0,3.4479277936510337,,0.02260279655456543,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_71,100,-1.0,2.6807272011414014,,0.02394247055053711,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_72,100,-1.0,2.6431328501072895,,0.022489309310913086,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_73,100,-1.0,3.269999926687592,,0.026235342025756836,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_74,100,-1.0,3.3725050305992315,,0.023929119110107422,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_75,100,-1.0,2.7882499400776464,,0.025125503540039062,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_76,100,-1.0,2.7723741645419646,,0.022246122360229492,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_77,100,-1.0,2.8754450689049778,,0.02468276023864746,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_78,100,-1.0,2.8894193213982935,,0.023834943771362305,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_79,100,-1.0,2.98877875264768,,0.022007226943969727,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_80,100,-1.0,2.3145790741762697,,0.023032665252685547,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_81,100,-1.0,2.7317156328669543,,0.02276611328125,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_82,100,-1.0,2.4063816419940114,,0.022115230560302734,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_83,100,-1.0,3.011294399092428,,0.02593684196472168,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_84,100,-1.0,2.913025695262543,,0.025237083435058594,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_85,100,-1.0,2.749076578283846,,0.023524761199951172,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_86,100,-1.0,2.9151967900496025,,0.022420406341552734,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_87,100,-1.0,2.673269402902377,,0.023642301559448242,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_88,100,-1.0,3.0439120497017607,,0.02340531349182129,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_89,100,-1.0,2.518085376928373,,0.02248668670654297,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_90,100,-1.0,2.8498677555059118,,0.028722763061523438,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_91,100,-1.0,2.4837832633551296,,0.0238497257232666,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_92,100,-1.0,2.7122139408617625,,0.024754762649536133,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_93,100,-1.0,3.0913716009883276,,0.02281498908996582,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_94,100,-1.0,2.2474495357516195,,0.022124528884887695,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_95,100,-1.0,2.809267232793605,,0.022919893264770508,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_96,100,-1.0,3.1527222181097256,,0.06734848022460938,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_97,100,-1.0,3.209742907871328,,0.0228574275970459,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_98,100,-1.0,2.8390982759891505,,0.02199244499206543,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_99,100,-1.0,2.507507926022725,,0.022114038467407227,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_100,100,-1.0,2.8954175577765957,,0.021821975708007812,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_101,100,-1.0,3.2189112104598845,,0.024196624755859375,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_102,100,-1.0,2.6741449398663604,,0.021964073181152344,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
